time,x1,y1,v1,r1,x2,y2,v2,r2,x3,y3,v3,r3
1716555787.355543,0,0,0,0,0,0,0,0,0,0,0,0
1716555787.444508,0,0,0,0,0,0,0,0,0,0,0,0
1716555787.533750,0,0,0,0,0,0,0,0,0,0,0,0
1716555787.622580,0,0,0,0,0,0,0,0,0,0,0,0
1716555787.711533,0,0,0,0,0,0,0,0,0,0,0,0
1716555787.800602,0,0,0,0,0,0,0,0,0,0,0,0
1716555787.889530,0,0,0,0,0,0,0,0,0,0,0,0
1716555787.978578,0,0,0,0,0,0,0,0,0,0,0,0
1716555788.067526,0,0,0,0,0,0,0,0,0,0,0,0
1716555788.156429,0,0,0,0,0,0,0,0,0,0,0,0
1716555788.245488,0,0,0,0,0,0,0,0,0,0,0,0
1716555788.334618,0,0,0,0,0,0,0,0,0,0,0,0
1716555788.423319,0,0,0,0,0,0,0,0,0,0,0,0
1716555788.512539,0,0,0,0,0,0,0,0,0,0,0,0
1716555788.601572,0,0,0,0,0,0,0,0,0,0,0,0
1716555788.690269,0,0,0,0,0,0,0,0,0,0,0,0
1716555788.779347,0,0,0,0,0,0,0,0,0,0,0,0
1716555788.868434,0,0,0,0,0,0,0,0,0,0,0,0
1716555788.957461,0,0,0,0,0,0,0,0,0,0,0,0
1716555789.046364,0,0,0,0,0,0,0,0,0,0,0,0
1716555789.135042,0,0,0,0,0,0,0,0,0,0,0,0
1716555789.224461,0,0,0,0,0,0,0,0,0,0,0,0
1716555789.313464,0,0,0,0,0,0,0,0,0,0,0,0
1716555789.402434,0,0,0,0,0,0,0,0,0,0,0,0
1716555789.491337,0,0,0,0,0,0,0,0,0,0,0,0
1716555789.580395,0,0,0,0,0,0,0,0,0,0,0,0
1716555789.669187,0,0,0,0,0,0,0,0,0,0,0,0
1716555789.758261,0,0,0,0,0,0,0,0,0,0,0,0
1716555789.846960,0,0,0,0,0,0,0,0,0,0,0,0
1716555789.936357,0,0,0,0,0,0,0,0,0,0,0,0
1716555790.025268,0,0,0,0,0,0,0,0,0,0,0,0
1716555790.114250,0,0,0,0,0,0,0,0,0,0,0,0
1716555790.203068,0,0,0,0,0,0,0,0,0,0,0,0
1716555790.292585,0,0,0,0,0,0,0,0,0,0,0,0
1716555790.381170,0,0,0,0,0,0,0,0,0,0,0,0
1716555790.470189,0,0,0,0,0,0,0,0,0,0,0,0
1716555790.559139,0,0,0,0,0,0,0,0,0,0,0,0
1716555790.648148,0,0,0,0,0,0,0,0,0,0,0,0
1716555790.737273,0,0,0,0,0,0,0,0,0,0,0,0
1716555790.826158,0,0,0,0,0,0,0,0,0,0,0,0
1716555790.915154,0,0,0,0,0,0,0,0,0,0,0,0
1716555791.004315,0,0,0,0,0,0,0,0,0,0,0,0
